id;company_name;contact_person;postal_code;email;phone_number;mobile_number;website_url;fax;reg_number;status;last_modified;last_modified_by
1;Isle;benchmark;Loan payment;Esther47@yahoo.com;drive withdrawal Frozen;override Account Handcrafted;matrix;schemas Electronics;Research Automotive explicit;Steel JBOD Greece;2023-02-24T15:49:07;e-markets
2;Central standardization;Towels Tuna architecture;Philippines;Saige_Dickinson@gmail.com;Awesome;District Graphic;next-generation viral;Concrete Synergized;Central Investment Extensions;Car;2023-02-24T22:34:18;copying
3;SCSI generating;definition Computer;quantify;Duane27@yahoo.com;Fantastic AI;Azerbaijanian plug-and-play firewall;redundant;structure payment;eco-centric Borders;Pants;2023-02-24T14:38:23;unleash Buckinghamshire
4;Account;bypassing Central mobile;Isle interface;Viola.Carter49@gmail.com;Assimilated blue;Buckinghamshire navigate;Avon;Awesome Refined Personal;network Soap invoice;Riel Shoes Dale;2023-02-24T23:03:38;wireless
5;green;Computer Soft;Credit;Nedra_Muller@gmail.com;Account Internal;Uzbekistan;Metal;Gabon;web;deposit program Gorgeous;2023-02-24T09:56:30;Towels portals
6;copy Computer Music;Multi-layered;bottom-line Montana;Sibyl_Koss49@gmail.com;connecting Up-sized emulation;Gorgeous;Streets;ROI;Intranet Iowa;transmitting driver generating;2023-02-24T09:29:26;zero Manager
7;interactive quantifying Sandwich;vortals;Generic Metal;Oscar39@hotmail.com;Mississippi Data compelling;Savings Avon;Delaware Cyprus Idaho;tolerance non-volatile;RAM Naira Account;Account bypassing;2023-02-25T01:06:05;Generic Grocery
8;deposit;Principal bricks-and-clicks Legacy;holistic capability Focused;Tillman_Tillman@yahoo.com;Producer;Configuration Outdoors;Rubber Optional e-enable;cultivate Toys;Licensed plug-and-play copy;world-class;2023-02-25T05:45:13;Mission India JSON
9;empowering;Re-engineered deploy blue;compressing;Eve.Boehm14@gmail.com;info-mediaries;Cambridgeshire;hard Tasty Fish;Alaska Loan;Wisconsin Oklahoma;Concrete access;2023-02-25T06:48:37;Cambridgeshire
10;analyzer compress;Frozen Computer fuchsia;Architect Micronesia expedite;Deanna.Reinger22@hotmail.com;tolerance Corporate Tuna;wireless Tasty;Parks cross-media Ball;Guinea;East Hawaii orchestrate;Rhode Car Handmade;2023-02-24T13:02:23;Canyon
