id;type;line_1;line_2;country;state;city;pincode;default_add;land_mark;longitude;latitude;ref_table;ref_table_id;company_id;status;last_modified;last_modified_by
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;Northern Mariana Islands;Zambian;Quincyhaven;Michigan Corporate Mandatory;false;Buckinghamshire;27410;59832;Producer;15869;2384;bypass microchip;2023-02-24T18:57:33;initiatives
2;generate Ports China;North bypassing capacitor;Pizza;Ecuador;Timor-Leste;South Nora;Account;true;Alaska;23123;69935;synthesizing;89747;35981;initiative Loan calculating;2023-02-25T07:19:07;optical Rustic USB
3;Dinar;quantifying;bus;Cuba;projection Taka JBOD;Wehnermouth;blue invoice;true;relationships deposit clicks-and-mortar;93874;35895;calculate bus Cheese;59533;27124;Tasty time-frame evolve;2023-02-24T20:52:29;Gloves deposit Principal
4;Dynamic Pound;firewall;Pizza;Djibouti;compelling generating;North Montefurt;systematic Avon analyzer;true;primary;36609;95395;Haven Plastic;89098;63615;back Computers CSS;2023-02-24T13:24:44;asynchronous
5;navigate infrastructures;Tasty Soft olive;Anguilla;Nigeria;application;Barrowsmouth;Court Savings Shoes;false;Chicken killer cyan;33282;43012;white;48290;43611;Frozen Specialist Granite;2023-02-25T01:02:37;cross-platform
6;Jewelery Account Industrial;generate solid Fresh;Oklahoma system;Guadeloupe;Balanced white bypassing;Myleneville;Toys blue;true;action-items THX;41034;69571;Kwacha;51563;54783;Branding;2023-02-24T09:37:53;District
7;South override Vermont;primary Unbranded olive;connect Steel;Malaysia;Loan;Glovershire;Incredible blue;false;Pants indigo;82133;28345;JSON;43996;38808;Syrian;2023-02-25T04:29:24;Auto bypassing
8;digital core;compressing solution;Integrated withdrawal copy;Czech Republic;Road Chief Savings;Bernierton;Music harness calculate;true;Camp connecting;50695;19894;Mariana calculate Dynamic;64108;77673;flexibility;2023-02-25T06:20:33;Ball Awesome
9;National synthesizing payment;Soft;firewall;Benin;blue disintermediate orchid;Rutherfordbury;Small systematic compress;true;world-class;64847;86680;Soft Borders;44157;8617;back-end Qatar;2023-02-25T03:16:03;Fiji
10;auxiliary auxiliary Concrete;foreground York;Soft;Rwanda;Awesome;East Halieborough;virtual Views;false;Delaware;33867;50635;Salad deploy;75808;38666;card;2023-02-24T12:41:01;transition Customer-focused salmon
