id;holiday_name;holiday_date;day;year;company_id;status;last_modified;last_modified_by
1;scale Function-based optimize;2023-02-24T09:52:26;haptic;2023-02-24T22:59:00;39884;transform transmitter deposit;2023-02-25T03:46:10;Intelligent Granite navigate
2;Facilitator Account;2023-02-24T17:39:45;Slovakia;2023-02-24T23:58:14;37836;Assurance;2023-02-24T17:47:46;Personal
3;Peso;2023-02-24T18:14:16;Samoa Tactics Account;2023-02-24T23:17:46;49393;mission-critical;2023-02-24T23:15:50;incubate Ergonomic
4;withdrawal;2023-02-24T08:04:20;Coordinator;2023-02-25T02:29:12;91359;online;2023-02-24T12:26:38;Practical Plastic
5;Internal coherent;2023-02-24T12:41:35;District Sum Checking;2023-02-24T20:47:23;83183;innovative Officer;2023-02-24T21:07:09;Electronics Plastic array
6;Re-contextualized;2023-02-24T14:33:40;client-server frame;2023-02-25T02:39:00;21726;Cotton Bedfordshire hard;2023-02-24T09:21:18;value-added Plastic
7;JBOD sensor;2023-02-24T08:04:40;Oklahoma Buckinghamshire circuit;2023-02-24T19:48:37;19402;Wooden supply-chains;2023-02-24T21:02:14;Rustic Chilean
8;Radial Chips contingency;2023-02-24T15:35:32;protocol;2023-02-24T10:48:50;23631;Automated Mexico Car;2023-02-25T07:36:06;bypassing Liaison
9;capability wireless;2023-02-24T14:11:35;grid-enabled;2023-02-24T19:08:48;10748;Account;2023-02-25T02:16:25;navigating seize Frozen
10;Cotton invoice transmit;2023-02-24T20:54:15;HTTP multi-byte;2023-02-25T07:29:10;86552;Avon reboot;2023-02-25T05:59:04;Squares
