id;institution;subject;start_year;end_date;education_type;grade;description;employee_id;company_id;status;last_modified;last_modified_by
1;neural Cotton;morph;2023-02-24T23:02:34;2023-02-24T09:06:23;Jersey blue;open-source Gorgeous Saudi;overriding Incredible;50810;90316;Australia Branding;2023-02-24T23:04:49;Director
2;plum 24/365 stable;FTP;2023-02-25T00:34:29;2023-02-25T07:26:14;Home programming;Vermont seize;Berkshire Incredible;97267;19425;Distributed Fantastic;2023-02-24T16:16:45;Massachusetts
3;Sleek;Nebraska PNG;2023-02-24T20:18:25;2023-02-25T05:27:48;Borders Versatile Analyst;Car payment;Accountability Administrator generating;73136;34333;Supervisor;2023-02-24T22:07:29;Ball Money
4;synergistic plum Operative;online Cambridgeshire Car;2023-02-24T22:15:18;2023-02-24T10:47:39;invoice;SQL Tuna;Account;65661;13225;Plastic 1080p;2023-02-25T01:59:22;quantify
5;aggregate Unbranded mobile;Kentucky Steel monitoring;2023-02-24T15:25:12;2023-02-24T12:45:59;digital;Assistant Communications generating;benchmark;46345;52489;capacitor;2023-02-24T19:33:41;Buckinghamshire Buckinghamshire
6;FTP teal Tactics;Money;2023-02-25T06:26:37;2023-02-24T17:10:20;Uganda Pizza Associate;virtual;overriding copy;78507;34807;synthesizing Account Loan;2023-02-24T12:12:27;Martinique feed
7;Orchestrator Industrial;Group Berkshire;2023-02-25T00:53:58;2023-02-24T09:09:26;Soft Tala Lead;plum;Wisconsin Borders;4313;92136;cross-platform blockchains;2023-02-24T23:27:21;Handmade auxiliary Table
8;Market interface;Sleek back-end Rufiyaa;2023-02-25T02:05:37;2023-02-24T09:10:37;Facilitator EXE Forward;Mexico Maryland;payment;73209;94632;Account auxiliary;2023-02-24T15:25:05;calculating
9;Electronics Personal JBOD;Lead;2023-02-24T22:45:53;2023-02-24T08:52:19;Granite Rupee navigating;withdrawal;parse;66128;21895;cross-platform invoice;2023-02-25T04:19:50;virtual connecting circuit
10;calculate Tasty Borders;Benin Extensions online;2023-02-25T06:08:02;2023-02-25T06:21:58;Keyboard Soft Refined;compress dedicated Bedfordshire;synergistic Minnesota Checking;35063;98486;Serbia optical Triple-buffered;2023-02-24T14:12:13;turn-key invoice Dynamic
